,Data,Accuracy,Precision,Recall,F1 Score
0,train,0.9946844087724857,0.994686225957253,0.9946844087724857,0.9946832083299566
1,test,0.8213179386088426,0.8214006550091717,0.8213179386088426,0.8205396443274428
