,Data,Accuracy,Precision,Recall,F1 Score
0,train,0.9019904706772944,0.9046081562626405,0.9019904706772944,0.9017521485166106
1,test,0.803739982190561,0.8109200585271401,0.803739982190561,0.8022579710710643
