,Data,Accuracy,Precision,Recall,F1 Score
0,train,0.9946844087724857,0.994686225957253,0.9946844087724857,0.9946832083299566
1,test,0.8228667980850465,0.8223705971178312,0.8228667980850465,0.8223471468035921
