,Data,Accuracy,Precision,Recall,F1 Score
0,train,0.7738679245283019,0.828627498775968,0.7738679245283019,0.7418937854661278
1,test,0.70183382386235,0.7798298274949461,0.70183382386235,0.6444596963021288
