,Data,Accuracy,Precision,Recall,F1 Score
0,train,0.9616981132075472,0.9617101158330025,0.9616981132075472,0.9612952669610177
1,test,0.856237265112067,0.8519654789963912,0.856237265112067,0.8514087954364314
