,Data,Accuracy,Precision,Recall,F1 Score
0,train,0.9819811320754717,0.9820268315262148,0.9819811320754717,0.9818844874964652
1,test,0.8657459814353634,0.8620116202567483,0.8657459814353634,0.8611461051173925
