,Data,Accuracy,Precision,Recall,F1 Score
0,train,0.9641537159905598,0.9641531671910079,0.9641537159905598,0.9641419005137097
1,test,0.7992876224398932,0.799506110983149,0.7992876224398932,0.7991358760718973
