,Data,Accuracy,Precision,Recall,F1 Score
0,train,0.9814287605932204,0.9814548241656121,0.9814287605932204,0.9814151898720271
1,test,0.9549126059322034,0.9552205970496515,0.9549126059322034,0.954760507542967
